url,stage,apartment number,floor,total area,rooms,internal area,external area,status,price with VAT,discounted price
https://www.ceresne.sk/ponuka-bytov/byt/r132/,Residence,R132,13,"59,24",2,"47,41","11,83",Voľný,292859,272427
https://www.ceresne.sk/ponuka-bytov/byt/r33/,Residence,R33,3,"93,64",3,"73,84","19,80",Predrezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/p48/,Residence,P48,4,"80,44",3,"74,52","5,92",Voľný,353392,308737
https://www.ceresne.sk/ponuka-bytov/byt/t75/,Plaza,T75,7,"64,54",3,"58,98","5,56",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/t55/,Plaza,T55,5,"65,30",3,"58,98","6,32",Voľný,329372,286411
https://www.ceresne.sk/ponuka-bytov/byt/p84/,Residence,P84,8,"44,43","1,5","38,56","5,87",Voľný,225729,209980
https://www.ceresne.sk/ponuka-bytov/byt/s103/,UP,S103,1,"68,55",3,"63,71","4,84",Voľný,315395,286723
https://www.ceresne.sk/ponuka-bytov/byt/t45/,Plaza,T45,4,"106,18",3,"58,98","47,20",Voľný,399754,347612
https://www.ceresne.sk/ponuka-bytov/byt/t212/,Plaza,T212,2,"57,80",2,"52,02","5,78",Voľný,289340,251600
https://www.ceresne.sk/ponuka-bytov/byt/r54/,Residence,R54,5,"37,83",1,"31,91","5,92",Voľný,190362,177081
https://www.ceresne.sk/ponuka-bytov/byt/t71/,Plaza,T71,7,"51,13",2,"46,08","5,05",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/u134/,Plaza,U134,13,"54,94",2,"49,71","5,23",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/s301/,UP,S301,3,"50,93",2,"46,10","4,83",Voľný,263330,239391
https://www.ceresne.sk/ponuka-bytov/byt/t211/,Plaza,T211,2,"35,91",1,"30,21","5,70",Voľný,197030,171330
https://www.ceresne.sk/ponuka-bytov/byt/s708/,UP,S708,7,"48,61",2,"43,78","4,83",Voľný,285982,259984
https://www.ceresne.sk/ponuka-bytov/byt/s602/,UP,S602,6,"50,93",2,"46,10","4,83",Voľný,269543,245039
https://www.ceresne.sk/ponuka-bytov/byt/r313/,Residence,R313,3,"34,70",1,"28,78","5,92",Voľný,180975,168349
https://www.ceresne.sk/ponuka-bytov/byt/r74/,Residence,R74,7,"37,78",1,"31,91","5,87",Voľný,194313,180756
https://www.ceresne.sk/ponuka-bytov/byt/p76/,Residence,P76,7,"89,68",3,"75,80","13,88",Voľný,378197,331812
https://www.ceresne.sk/ponuka-bytov/byt/t131/,Plaza,T131,13,"108,56",4,"95,12","13,44",Voľný,498602,433567
https://www.ceresne.sk/ponuka-bytov/byt/t78/,Plaza,T78,7,"67,28",3,"61,49","5,79",Voľný,341631,297071
https://www.ceresne.sk/ponuka-bytov/byt/o18/,Residence,O18,1,"43,09",1,"32,59","10,50",Voľný,188035,174917
https://www.ceresne.sk/ponuka-bytov/byt/u74/,Plaza,U74,7,"54,94",2,"49,71","5,23",Voľný,293190,254948
https://www.ceresne.sk/ponuka-bytov/byt/s104/,UP,S104,1,"102,58",3,"76,73","25,85",Voľný,357970,325427
https://www.ceresne.sk/ponuka-bytov/byt/t144/,Plaza,T144,14,"47,52",2,"43,81","3,71",Voľný,291447,253432
https://www.ceresne.sk/ponuka-bytov/byt/t317/,Plaza,T317,3,"71,13",3,"64,66","6,47",Voľný,344338,299424
https://www.ceresne.sk/ponuka-bytov/byt/r111/,Residence,R111,11,"82,14",3,"70,30","11,84",Rezervovaný,-,-
https://www.ceresne.sk/ponuka-bytov/byt/t143/,Plaza,T143,14,"102,87",4,"96,78","6,09",Voľný,532749,463260
https://www.ceresne.sk/ponuka-bytov/byt/r21/,Residence,R21,2,"70,31",3,"64,39","5,92",Voľný,338020,294437
https://www.ceresne.sk/ponuka-bytov/byt/p26/,Residence,P26,2,"81,72",3,"75,80","5,92",Voľný,351487,306965
https://www.ceresne.sk/ponuka-bytov/byt/r142/,Residence,R142,14,"53,33",2,"47,41","5,92",Voľný,286692,266690
https://www.ceresne.sk/ponuka-bytov/byt/r152/,Residence,R152,15,"59,24",2,"47,41","11,83",Voľný,297330,276586
